"","station","year","week","PM2.5","PM10","SO2","NO2","CO","O3","TEMP","PRES","DEWP","WSPM"
"1","Aotizhongxin",2013,"09",38.2638888888889,57.7916666666667,36.5416666666667,56.75,958.236111111111,37.5833333333333,2.525,1022.77777777778,-15.6666666666667,2.13055555555556
"2","Aotizhongxin",2013,"10",137.044025157233,193.786163522013,65.811320754717,97.8427672955975,2033.71698113208,59.0440251572327,7.84716981132075,1009.09685534591,-7.10377358490566,1.9874213836478
"3","Aotizhongxin",2013,"11",156.427710843373,176.55421686747,57.3373493975904,81.8012048192771,1711.27710843373,65.9638554216867,6.4078313253012,1014.26807228916,-2.30180722891566,1.59939759036145
"4","Aotizhongxin",2013,"12",82.301724137931,107.465517241379,19.3965517241379,59.3879310344828,1026.66379310345,37.8706896551724,4.50862068965517,1008.90517241379,-3.92155172413793,2.37586206896552
"5","Aotizhongxin",2013,"13",106.092857142857,143.492857142857,39.0071428571429,70.3142857142857,1280.5,30.2928571428571,7.35571428571429,1012.97928571429,-3.86714285714286,1.96785714285714
"6","Aotizhongxin",2013,"14",75.2530120481928,109.421686746988,32.8493975903614,59.566265060241,1294.43975903614,42.9759036144578,9.44698795180723,1009.32530120482,-2.08493975903614,2.05240963855422
"7","Aotizhongxin",2013,"15",31.8353658536585,89.780487804878,13.5243902439024,45.0609756097561,614.634146341463,51.7471085365854,11.0463414634146,1008.47865853659,-5.94207317073171,2.96951219512195
"8","Aotizhongxin",2013,"16",53.6888888888889,107.466666666667,23,53.4,808.111111111111,51.5703703703704,10.5385185185185,1009.91555555556,-1.75481481481481,2.23259259259259
"9","Aotizhongxin",2013,"17",87.2785714285714,126.771428571429,30.1571428571429,56.1071428571429,1039.92857142857,50.35,15.285,1005.58357142857,3.1,1.64214285714286
"10","Aotizhongxin",2013,"18",87.1803278688525,117.385245901639,26.1229508196721,44.8524590163934,715.565573770492,82.3688524590164,19.4319672131148,1009.40327868852,4.89918032786885,1.72622950819672
"11","Aotizhongxin",2013,"19",101.098159509202,150.791411042945,33.4294478527607,65.6687116564417,888.312883435583,68.2883435582822,21.3975460122699,1001.47975460123,8.4840490797546,1.57177914110429
"12","Aotizhongxin",2013,"20",82.4578313253012,150.409638554217,36.3072289156626,56.9578313253012,1058.32530120482,77.6586927710843,21.3024096385542,1003.09337349398,9.35361445783133,1.88253012048193
"13","Aotizhongxin",2013,"21",81.7362637362637,140.868131868132,23.2087912087912,66,1198.81318681319,62.6353010989011,22.721978021978,1003.76153846154,13.5956043956044,1.5043956043956
"14","Aotizhongxin",2013,"22",75.5153374233129,119.41717791411,13,60.1717791411043,797.527607361963,70.1779141104294,22.5030674846626,1000.58282208589,12.5073619631902,1.6760736196319
"15","Aotizhongxin",2013,"23",120.054545454545,138.933333333333,7.61212121212121,71.1272727272727,1796.72121212121,34.4727272727273,20.2539393939394,1003.85575757576,17.8563636363636,1.05515151515152
"16","Aotizhongxin",2013,"24",94.1158536585366,122.15243902439,23.2012195121951,84.1036585365854,998.689024390244,88.6341463414634,22.8439024390244,1002.50609756098,16.05,1.37073170731707
"17","Aotizhongxin",2013,"25",47.6029411764706,84.25,14.0294117647059,68.5441176470588,654.352941176471,86.9117647058823,27.2794117647059,995.454411764706,17.5764705882353,1.31323529411765
"18","Aotizhongxin",2013,"26",199.155172413793,204.48275862069,16.3103448275862,67.2241379310345,2097.94827586207,42.8965517241379,23.9068965517241,997.925862068966,22.1172413793103,0.986206896551724
"19","Aotizhongxin",2013,"27",54.5403726708075,86.2360248447205,9.3167701863354,56.0496894409938,705.540372670807,81.3913043478261,28.032298136646,992.182608695652,20.3975155279503,1.50496894409938
"20","Aotizhongxin",2013,"28",82.1418918918919,80.7837837837838,7.77702702702703,52.6486486486486,802.702702702703,68.6824324324324,25.6209459459459,999.754054054054,22.8804054054054,1.06148648648649
"21","Aotizhongxin",2013,"29",77.6385542168675,86.6325301204819,9.13253012048193,52.2349397590361,854.21686746988,69.8674698795181,26.5265060240964,997.387951807229,20.8620481927711,1.30903614457831
"22","Aotizhongxin",2013,"30",57.7012987012987,78.961038961039,12.3636363636364,54.6493506493507,907.792207792208,62.6493506493507,27.4675324675325,995.678571428571,21.037012987013,1.25649350649351
"23","Aotizhongxin",2013,"31",66.2283464566929,81.6062992125984,5.8740157480315,61.6771653543307,729.92125984252,78.2834645669291,26.3007874015748,995.941732283465,22.3149606299213,1.21496062992126
"24","Aotizhongxin",2013,"32",73.6461538461539,95.1384615384615,6.30769230769231,49.9384615384615,764.615384615385,99.8769230769231,27.8507692307692,996.646153846154,22.7538461538462,1.27538461538462
"25","Aotizhongxin",2013,"33",74.6258064516129,93.3935483870968,7.76129032258065,56.8774193548387,790.322580645161,76.9225806451613,29.3329032258065,997.638064516129,22.6187096774194,1.37032258064516
"26","Aotizhongxin",2013,"34",65.840490797546,98.4355828220859,8.00613496932515,70.8834355828221,857.055214723926,62.3496932515337,26.3680981595092,1003.25214723926,19.2503067484663,1.11472392638037
"27","Aotizhongxin",2013,"35",35.8120805369128,64.2885906040269,7.73825503355705,49.6510067114094,787.248322147651,48.5838926174497,24.0107382550336,1003.10536912752,15.9348993288591,1.49395973154362
"28","Aotizhongxin",2013,"36",65.1616766467066,82.1077844311377,11.2874251497006,54.5329341317365,1040.11976047904,58.7844311377246,21.7377245508982,1010.41856287425,17.0023952095808,1.11556886227545
"29","Aotizhongxin",2013,"37",71.6,100.49375,12.36875,66.01875,890,36.18125,21.4,1005.944375,15.38625,1.245
"30","Aotizhongxin",2013,"38",72.25,101.310975609756,13.6890243902439,64.7865853658537,1314.60975609756,24.3109756097561,21.1243902439024,1009.43536585366,17.2439024390244,1.06036585365854
"31","Aotizhongxin",2013,"39",98.9876543209877,126.932098765432,16.1975308641975,69.0185185185185,975.925925925926,26.9135802469136,15.9333333333333,1011.48580246914,9.09876543209877,1.19753086419753
"32","Aotizhongxin",2013,"40",142.553459119497,161.566037735849,29.6289308176101,81.8364779874214,1577.35849056604,24.6477987421384,16.9641509433962,1013.27232704403,12.7094339622642,0.951572327044025
"33","Aotizhongxin",2013,"41",76.65,104.525,29.758645,69.85625,895,21.1375,16.0875,1011.245625,9.586875,1.2725
"34","Aotizhongxin",2013,"42",79.0969696969697,98.1151515151515,14.8966836363636,70.1454545454545,908.484848484848,13.8545454545455,11.2781818181818,1020.70909090909,3.18606060606061,1.19454545454545
"35","Aotizhongxin",2013,"43",68.453125,99.5,15.84375,65.3515625,846.875,24.3203125,9.45625,1017.584375,0.95078125,1.215625
"36","Aotizhongxin",2013,"44",121.685950413223,138.834710743802,20.7272727272727,77.3553719008264,1357.85123966942,18.9984380165289,9.7495867768595,1019.51652892562,2.65619834710744,1.22396694214876
"37","Aotizhongxin",2013,"45",35.2816901408451,68.943661971831,16,36.5492957746479,1142.25352112676,33.4725211267606,9.95915492957747,1019.1661971831,-7.88591549295775,2.32394366197183
"38","Aotizhongxin",2013,"46",30.2906976744186,59.1046511627907,15.9883720930233,34.2558139534884,656.976744186047,34.6854558139535,8.82093023255814,1017.12441860465,-7.74302325581395,2.3093023255814
"39","Aotizhongxin",2013,"47",95.7368421052632,123.80701754386,38.7368421052632,63.1491228070175,1769.29824561404,13.9044912280702,5.58070175438596,1016.08070175439,-6.93421052631579,1.47368421052632
"40","Aotizhongxin",2013,"48",30.7065868263473,57.1796407185629,18.7245508982036,40.7904191616766,923.353293413174,22.7185628742515,1.70898203592814,1016.61796407186,-14.1808383233533,2.20778443113772
"41","Aotizhongxin",2013,"49",124.708609271523,146.245033112583,53.1655629139073,74.8079470198676,2719.86754966887,7.48344370860927,3.4953642384106,1014.75430463576,-6.46754966887417,1.23245033112583
"42","Aotizhongxin",2013,"50",19.8,32.9764705882353,14.8705882352941,33.9529411764706,721.176470588235,22.7909858823529,0.16,1015.87058823529,-14.48,2.27411764705882
"43","Aotizhongxin",2013,"51",66.7356321839081,96.3563218390805,46.5287356321839,71.9080459770115,1560.91954022989,10.8505747126437,-3.30114942528736,1027.42528735632,-13.5977011494253,1.24022988505747
"44","Aotizhongxin",2013,"52",114.465517241379,155.663793103448,64.5948275862069,76.6206896551724,2744.8275862069,19.7155172413793,-2.31120689655172,1025.91206896552,-13.673275862069,1.80862068965517
"45","Aotizhongxin",2014,"01",88.3333333333333,145.02380952381,47.9365079365079,69.2936507936508,1938.88888888889,13.1666666666667,1.54206349206349,1015.37301587302,-9.15793650793651,1.61746031746032
"46","Aotizhongxin",2014,"02",67.4879518072289,81.9578313253012,43.7168674698795,57.0722891566265,1445.18072289157,15.4578313253012,-1.46626506024096,1024.75421686747,-15.95,1.91204819277108
"47","Aotizhongxin",2014,"03",140.254545454545,175.793939393939,81.2545454545455,86.030303030303,2604.84848484848,8.03030303030303,-1.27515151515152,1024.38424242424,-11.4030303030303,1.55636363636364
"48","Aotizhongxin",2014,"04",99.0359712230216,123.791366906475,67.6618705035971,70.5971223021583,1950.35971223022,18.431654676259,0.0402877697841727,1018.08345323741,-13.2589928057554,1.76330935251799
"49","Aotizhongxin",2014,"05",90.859756097561,112.018292682927,49.9878048780488,51.6951219512195,1462.80487804878,22.0487804878049,1.95792682926829,1012.75,-8.37621951219512,1.96463414634146
"50","Aotizhongxin",2014,"06",55.0802469135802,56.7037037037037,31.9382716049383,34.7469135802469,1033.95061728395,36.2407407407407,-2.59320987654321,1023.63209876543,-15.8574074074074,2.05493827160494
"51","Aotizhongxin",2014,"07",191.244604316547,184.892086330935,68.4820143884892,80.6187050359712,2469.78417266187,14.9352517985612,-2.25179856115108,1024.22877697842,-9.52661870503597,1.39784172661871
"52","Aotizhongxin",2014,"08",163.29012345679,183.172839506173,71.5740740740741,78.6172839506173,2308.64197530864,13.3333333333333,1.19382716049383,1024.48950617284,-6.10987654320988,1.54567901234568
"53","Aotizhongxin",2014,"09",151.925373134328,169.417910447761,62.6044776119403,78.365671641791,2473.13432835821,21.7164179104478,4.20074626865672,1019.63134328358,-5.64402985074627,1.69701492537313
"54","Aotizhongxin",2014,"10",87.7202380952381,108.065476190476,45.2738095238095,63.3511904761905,1685.11904761905,27.0535714285714,3.50119047619048,1020.53869047619,-11.5875,1.93392857142857
"55","Aotizhongxin",2014,"11",72.4523809523809,129.190476190476,42.8273809523809,61.7678571428571,1317.2619047619,37.2619047619048,8.71964285714286,1013.11607142857,-8.02678571428571,2.03630952380952
"56","Aotizhongxin",2014,"12",57.7380952380952,136.047619047619,19.6785714285714,54.9345238095238,833.928571428571,47.5833333333333,12.2642857142857,1014.96904761905,-4.12380952380952,2.09940476190476
"57","Aotizhongxin",2014,"13",169.831325301205,213.379518072289,33.9096385542169,90.7228915662651,1481.32530120482,39.566265060241,15.5879518072289,1005.99819277108,5.8566265060241,1.38795180722892
"58","Aotizhongxin",2014,"14",72.5476190476191,143.714285714286,16.8988095238095,60.7619047619048,817.261904761905,52.3452380952381,15.4309523809524,1011.45476190476,-0.370238095238095,2.11130952380952
"59","Aotizhongxin",2014,"15",122.981927710843,227.993975903614,28.5903614457831,78.3373493975904,1147.59036144578,56.7590361445783,16.7319277108434,1010.15722891566,3.81746987951807,1.41626506024096
